06534775-n,a contract in which the contractor is paid his total cost plus a stated percentage of profit,a contract in which the contractor is paid their total cost plus a stated percentage of profit
06556832-n,a document written by someone still legally capable requesting that he should be allowed to die if subsequently severely disabled or suffering terminal illness,a document written by someone still legally capable requesting that they should be allowed to die if subsequently severely disabled or suffering terminal illness
06572930-n,(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects him to conviction,(law) an answer of `no contest' by a defendant who does not admit guilt but that subjects them to conviction
06574427-n,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks,the written statement of a plaintiff explaining the cause of action (the defamation) and any relief they seeks
06676530-n,a commercial principle that without a warranty the buyer takes upon himself the risk of quality,a commercial principle that without a warranty the buyer takes upon themself the risk of quality
06744259-n,(law) a contention presented by a lawyer to a judge or jury as part of the case he is arguing,(law) a contention presented by a lawyer to a judge or jury as part of the case they are arguing
06753794-n,(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question,(law) a defense by an accused person purporting to show that they could not have committed the crime in question
07207321-n,a demand by a broker that a customer deposit enough to bring his margin up to the minimum requirement,a demand by a broker that a customer deposit enough to bring their margin up to the minimum requirement
07291437-n,an Interpol notice describing a wanted person and asking that he or she be arrested with a view to extradition; a wanted notice that is issued by Interpol at the request of an Interpol member country and distributed to all member countries,an Interpol notice describing a wanted person and asking that they be arrested with a view to extradition; a wanted notice that is issued by Interpol at the request of an Interpol member country and distributed to all member countries
02400336-v,help out by taking someone's place and temporarily assuming his responsibilities,help out by taking someone's place and temporarily assuming their responsibilities
02489153-v,"pull (a person) apart with four horses tied to his extremities, so as to execute him","pull (a person) apart with four horses tied to their extremities, so as to execute them"
02509282-v,"send someone back to his homeland against his will, as of refugees","send someone back to their homeland against their will, as of refugees"
02539263-v,test someone's alcohol level in his blood by means of a breathalyzer,test someone's alcohol level in their blood by means of a breathalyzer
02578724-v,cheat someone by not returning him enough money,cheat someone by not returning them enough money
02598049-v,release a criminal from detention and place him on parole,release a criminal from detention and place them on parole
02649956-v,put a convicted person on probation by suspending his sentence,put a convicted person on probation by suspending their sentence
13952369-n,a brokerage account of someone who sells short (sells securities he does not own),a brokerage account of someone who sells short (sells securities they do not own)
14486915-n,the character flaw or error of a tragic hero that leads to his downfall,the character flaw or error of a tragic hero that leads to their downfall
14497501-n,a manifestation of God's foresightful care for his creatures,a manifestation of God's foresightful care for their creatures
01938064-v,force a person or an animal into a position from which he cannot escape,force a person or an animal into a position from which they cannot escape
02089014-v,march a person against his will by any method,march a person against their will by any method
01649842-v,"compel somebody to do something, often against his own will or judgment","compel somebody to do something, often against their own will or judgment"
00070738-n,violation (either through fraud or negligence) by a trustee of a duty that equity requires of him,violation (either through fraud or negligence) by a trustee of a duty that equity requires of them
00088669-n,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master,(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to their creditor); a surrender to a master
00110047-n,an illegal pitch in which a foreign substance (spit or Vaseline) is applied to the ball by the pitcher before he throws it,an illegal pitch in which a foreign substance (spit or Vaseline) is applied to the ball by the pitcher before they throws it
00134801-n,a blow that knocks the opponent off his feet,a blow that knocks the opponent off their feet
00138529-n,a free kick from the corner awarded to the other side when a player has sent the ball behind his own goal line,a free kick from the corner awarded to the other side when a player has sent the ball behind their own goal line
00140364-n,(American football) a catch of a punt on the fly by a defensive player who has signalled that he will not run and so should not be tackled,(American football) a catch of a punt on the fly by a defensive player who has signalled that they will not run and so should not be tackled
00188348-n,(soccer) a goal that results when a player inadvertently knocks the ball into the goal he is defending,(soccer) a goal that results when a player inadvertently knocks the ball into the goal they is defending
00189469-n,a score in American football; a player is tackled behind his own goal line,a score in American football; a player is tackled behind their own goal line
00416553-n,the practice of making a debtor work for his creditor until the debt is discharged,the practice of making a debtor work for their creditor until the debt is discharged
00435784-n,a gymnastic exercise performed on the rings when the gymnast supports himself with both arms extended horizontally,a gymnastic exercise performed on the rings when the gymnast supports themself with both arms extended horizontally
00436122-n,a gymnastic exercise performed on the pommel horse when the gymnast (with legs together) swings his legs in a circle while alternating hands on the pommels,a gymnastic exercise performed on the pommel horse when the gymnast (with legs together) swings their legs in a circle while alternating hands on the pommels
00439665-n,a gymnastic exercise performed on the pommel horse when the gymnast moves his legs as the blades of scissors move,a gymnastic exercise performed on the pommel horse when the gymnast moves their legs as the blades of scissors move
00447617-n,a boxing tactic: pretending to be trapped against the ropes while your opponent wears himself out throwing punches,a boxing tactic: pretending to be trapped against the ropes while your opponent wears themself out throwing punches
00485921-n,a game in which a child covers his eyes while the other players hide then tries to find them,a game in which a child covers their eyes while the other players hide then tries to find them
00492377-n,a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid,a variety of bridge in which the bidder receives points toward game only for the number of tricks they bid
00493735-n,a card game in which players bet against the dealer on the cards he will draw from a dealing box,a card game in which players bet against the dealer on the cards they will draw from a dealing box
00494319-n,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card,a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in their hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card
00580601-n,(law) the acts performed by an English feudal tenant for the benefit of his lord which formed the consideration for the property granted to him,(law) the acts performed by an English feudal tenant for the benefit of their lord which formed the consideration for the property granted to them
00622566-n,unpaid labor (as for the maintenance of roads) required by a lord of his vassals in lieu of taxes,unpaid labor (as for the maintenance of roads) required by a lord of their vassals in lieu of taxes
00727818-n,(American football) the position of the football player in the backfield who directs the offensive play of his team,(American football) the position of the football player in the backfield who directs the offensive play of their team
00815636-n,a wrestling hold in which the opponent's arm is twisted up behind his back,a wrestling hold in which the opponent's arm is twisted up behind their back
00815935-n,a wrestling hold in which the opponent's arms are crossed in front of his own neck to exert pressure on his windpipe,a wrestling hold in which the opponent's arms are crossed in front of their own neck to exert pressure on their windpipe
00843188-n,a dinner where each person pays for his own,a dinner where each person pays for their own
00912231-n,combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of his speech,combining audio and video recording in such a way that the sound is perfectly synchronized with the action that produced it; especially synchronizing the movements of a speaker's lips with the sound of their speech
00974423-n,an amphibious operation conducted for the purpose of deceiving the enemy and leading him into a course of action unfavorable to him,an amphibious operation conducted for the purpose of deceiving the enemy and leading them into a course of action unfavorable to them
00987602-n,a method of reconnaissance in which fire is placed on a suspected enemy position in order to cause the enemy to disclose his presence by moving or returning fire,a method of reconnaissance in which fire is placed on a suspected enemy position in order to cause the enemy to disclose their presence by moving or returning fire
01041339-n,(Roman Catholic Church) the act of a penitent disclosing his sinfulness before a priest in the sacrament of penance in the hope of absolution,(Roman Catholic Church) the act of a penitent disclosing their sinfulness before a priest in the sacrament of penance in the hope of absolution
01078787-n,the military doctrine that an enemy will be deterred from using nuclear weapons as long as he can be destroyed as a consequence,the military doctrine that an enemy will be deterred from using nuclear weapons as long as they can be destroyed as a consequence
01191273-n,"a judgment entered in favor of the defendant when the plaintiff has not continued his action (e.g., has not appeared in court)","a judgment entered in favor of the defendant when the plaintiff has not continued their action (e.g., has not appeared in court)"
01200558-n,the prosecution of a defendant for a criminal offense for which he has already been tried; prohibited in the fifth amendment to the United States Constitution,the prosecution of a defendant for a criminal offense for which they have already been tried; prohibited in the fifth amendment to the United States Constitution
01201240-n,a defendant's answer or plea denying the truth of the charges against him,a defendant's answer or plea denying the truth of the charges against them
00897728-s,of someone or something that balances himself or itself,of someone or something that balances themself or itself
15211706-n,"if the ground hog emerges and sees his shadow on this day, there will be 6 more weeks of winter","if the ground hog emerges and sees its shadow on this day, there will be 6 more weeks of winter"
00594278-v,accept (someone) to be what is claimed or accept his power and authority,accept (someone) to be what is claimed or accept their power and authority
05187365-n,the right of a lawyer to refuse to divulge confidential information from his client,the right of a lawyer to refuse to divulge confidential information from their client
05192538-n,"a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government provide a quick and public trial for the accused and produce an impartial jury to try him with","a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government provide a quick and public trial for the accused and produce an impartial jury to try them with"
05192712-n,"a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government appoint a lawyer for the defendant and/or pay the defendant's legal fees in case he cannot afford a lawyer","a civil right guaranteed by the 6th amendment to the US Constitution, requiring that the government appoint a lawyer for the defendant and/or pay the defendant's legal fees in case they cannot afford a lawyer"
02650423-a,of or relating to an archdeacon or his office,of or relating to an archdeacon or the archdeacon's office
02872572-a,of or relating to a count palatine and his royal prerogatives,of or relating to a count palatine and the palatine's royal prerogatives
03067709-a,having to do with a consul or his office or duties,having to do with a consul or their office or duties
03077232-a,of or pertaining to the relation of a feudal vassal to his lord,of or pertaining to the relation of a feudal vassal to their lord
01340609-v,cover the eyes of (someone) to prevent him from seeing,cover the eyes of (someone) to prevent them from seeing
01345437-v,turn a rope round an object or person in order to secure it or him,turn a rope round an object or person in order to secure it or them
01453962-v,carry someone against his will upside down such that each limb is held by one person,carry someone against their will upside down such that each limb is held by one person
01474177-v,"take (someone) against his will for compulsory service, especially on board a ship","take (someone) against their will for compulsory service, especially on board a ship"
01475047-v,"take someone's car from him by force, usually with the intention of stealing it","take someone's car from them by force, usually with the intention of stealing it"
01603521-v,touch a player while he is holding the ball,touch a player while they are holding the ball
01603680-v,tag the base runner to get him out,tag the base runner to get them out
07344962-n,(Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation,(Hinduism and Buddhism) the effects of a person's actions that determine their destiny in their next incarnation
07368680-n,drawing position in chess: any of a player's possible moves would place his king in check,drawing position in chess: any of a player's possible moves would place their king in check
07469911-n,"a ceremonial feast held by some Indians of the northwestern coast of North America (as in celebrating a marriage or a new accession) in which the host gives gifts to tribesmen and others to display his superior wealth (sometimes, formerly, to his own impoverishment)","a ceremonial feast held by some Indians of the northwestern coast of North America (as in celebrating a marriage or a new accession) in which the host gives gifts to tribesmen and others to display their superior wealth (sometimes, formerly, to their own impoverishment)"
07476607-n,a horse race in which each owner declares before the race at what price his horse will be offered for sale after the race,a horse race in which each owner declares before the race at what price their horse will be offered for sale after the race
08068698-n,the sovereign and his advisers who are the governing power of a state,the sovereign and their advisers who are the governing power of a state
08081359-n,the defendant and his legal advisors collectively,the defendant and their legal advisors collectively
08419785-n,an ambassador and his entourage collectively,an ambassador and their entourage collectively
00769852-v,talk to someone with the aim of persuading him,talk to someone with the aim of persuading them
00833137-v,put someone through a debriefing and make him report,put someone through a debriefing and make them report
00959977-v,"repeat monotonously, like a cuckoo repeats his call","repeat monotonously, like a cuckoo repeats its call"
05914899-n,an illegal scheme for making money by manipulating stock prices; the schemer persuades other people to buy the stock and then sells it himself as soon as the price of the stock rises,an illegal scheme for making money by manipulating stock prices; the schemer persuades other people to buy the stock and then sells it themself as soon as the price of the stock rises
05925114-n,a suggestion that is made to a person who is hypnotized that specifies an action he will perform (usually in response to a cue) after he has awakened,a suggestion that is made to a person who is hypnotized that specifies an action they will perform (usually in response to a cue) after they have awakened
05965773-n,the principle that a person's nationality at birth is the same as that of his natural parents,the principle that a person's nationality at birth is the same as that of their natural parents
05999866-n,(physics) the principle that an observer has no way of distinguishing whether his laboratory is in a uniform gravitational field or is in an accelerated frame of reference,(physics) the principle that an observer has no way of distinguishing whether their laboratory is in a uniform gravitational field or is in an accelerated frame of reference
06170497-n,a Roman Catholic system of casuistry that when expert opinions differ an actor can follow any solidly probable opinion that he wishes even though some different opinion might be more probable,a Roman Catholic system of casuistry that when expert opinions differ an actor can follow any solidly probable opinion that they wish even though some different opinion might be more probable
06223917-n,the political doctrine of Machiavelli: any means (however unscrupulous) can be used by a ruler in order to create and maintain his autocratic government,the political doctrine of Machiavelli: any means (however unscrupulous) can be used by a ruler in order to create and maintain their autocratic government
92443929-n,(Psychology) a school of thought postulating that the personality of an individual is dependent on the type of his physique (somatotype).,(Psychology) a school of thought postulating that the personality of an individual is dependent on the type of their physique (somatotype).
09746665-n,a ruler of the Incas (or a member of his family),a ruler of the Incas (or a member of their family)
09812936-n,a specialist who administers an anesthetic to a patient before he is treated,a specialist who administers an anesthetic to a patient before they are treated
09820054-n,someone who humbles himself as a sign of respect; who behaves as if he had no self-respect,someone who humbles themself as a sign of respect; who behaves as if they had no self-respect
09844815-n,a person who has taught himself,a person who has taught themself
09853111-n,an acrobat who balances himself in difficult positions,an acrobat who balances themself in difficult positions
09873051-n,a prejudiced person who is intolerant of any opinions differing from his own,a prejudiced person who is intolerant of any opinions differing from their own
09889614-n,someone who fights with his fists for sport,someone who fights with their fists for sport
09892462-n,someone whose profession involves using his head to solve problems,someone whose profession involves using their head to solve problems
09895618-n,a financial specialist who trades for his own account and so acts both as a broker and principal,a financial specialist who trades for their own account and so acts both as a broker and principal
09897417-n,a close friend who accompanies his buddies in their activities,a close friend who accompanies their buddies in their activities
09902499-n,a traveler whose expenses are paid by the business he works for,a traveler whose expenses are paid by the business they works for
09904267-n,a fighter who strikes the opponent with his head,a fighter who strikes the opponent with their head
09914674-n,a professional who is intent on furthering his or her career by any possible means and often at the expense of their own integrity,a professional who is intent on furthering their career by any possible means and often at the expense of their own integrity
09916622-n,a knight who spends his time in luxury and idleness (knighted on the carpet at court rather than on the field of battle),a knight who spends their time in luxury and idleness (knighted on the carpet at court rather than on the field of battle)
09916802-n,(medicine) a person (or animal) who has some pathogen to which he is immune but who can pass it on to others,(medicine) a person (or animal) who has some pathogen to which they are immune but who can pass it on to others
09974358-n,a swindler who exploits the confidence of his victim,a swindler who exploits the confidence of their victim
09984954-n,a chef famous for his great skill,a chef famous for their great skill
09997050-n,a peddler who shouts to advertise the goods he sells,a peddler who shouts to advertise the goods they sells
10015842-n,a nonenterprising person who is not paying his way,a nonenterprising person who is not paying their way
10024942-n,an assistant with power to act when his superior is absent,an assistant with power to act when their superior is absent
10026763-n,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,a disloyal person who betrays or deserts their cause or religion or political party or friend etc.
10046830-n,an oldster in his dotage; someone whose age has impaired his intellect,an oldster in their dotage; someone whose age has impaired their intellect
10071145-n,someone who violates a trust by taking (money) for his own use,someone who violates a trust by taking (money) for their own use
10077079-n,a person who transfers his ownership interest in something by signing a check or negotiable security,a person who transfers their ownership interest in something by signing a check or negotiable security
10092134-n,a witness who has knowledge not normally possessed by the average person concerning the topic that he is to testify about,a witness who has knowledge not normally possessed by the average person concerning the topic that they are to testify about
10107637-n,a legislator who gives long speeches in an effort to delay or obstruct legislation that he (or she) opposes,a legislator who gives long speeches in an effort to delay or obstruct legislation that they opposes
10107870-n,a parent who murders his own son or daughter,a parent who murders their own son or daughter
10114089-n,a person who whips himself as a religious penance,a person who whips themself as a religious penance
10114213-n,a person who is whipped or whips himself for sexual gratification,a person who is whipped or whips themself for sexual gratification
10116923-n,the legislator who organizes his party's strategy,the legislator who organizes their party's strategy
10151183-n,someone who devotes himself completely,someone who devotes themself completely
10155666-n,a soldier who performs his duties without proper care or effort,a soldier who performs their duties without proper care or effort
10176576-n,a guard who carries a halberd (as a symbol of his duty),a guard who carries a halberd (as a symbol of their duty)
10192613-n,a protagonist who lacks the characteristics that would make him a hero (or her a heroine),a protagonist who lacks the characteristics that would make them a hero (or her a heroine)
10199542-n,the person who is in possession of a check or note or bond or document of title that is endorsed to him or to whoever holds it,the person who is in possession of a check or note or bond or document of title that is endorsed to them or to whoever holds it
10200422-n,an official who remains in office after his term,an official who remains in office after their term
10203175-n,a driver who causes his car's horn to make a loud honking sound,a driver who causes their car's horn to make a loud honking sound
10207329-n,someone who performs dangerous stunts to attract attention to himself,someone who performs dangerous stunts to attract attention to themself
10223301-n,an offensive term for someone who asks you to return a present he has given you,an offensive term for someone who asks you to return a present they have given you
10227300-n,a patient who is residing in the hospital where he is being treated,a patient who is residing in the hospital where they are being treated
10229489-n,a person whose interests are protected by an insurance policy; a person who contracts for an insurance policy that indemnifies him against loss of property or life or health etc.,a person whose interests are protected by an insurance policy; a person who contracts for an insurance policy that indemnifies them against loss of property or life or health etc.
10244116-n,a person believed to bring bad luck to those around him,a person believed to bring bad luck to those around them
10259932-n,someone who thinks he knows everything and refuses to accept advice or information from others,someone who thinks they knows everything and refuses to accept advice or information from others
10357502-n,a Muslim engaged in what he considers to be a jihad,a Muslim engaged in what they consider to be a jihad
10402793-n,an employee who sacrifices his own individuality for the good of an organization,an employee who sacrifices their own individuality for the good of an organization
10407535-n,a person who lives away from his place of work,a person who lives away from their place of work
10407635-n,a patient who does not reside in the hospital where he is being treated,a patient who does not reside in the hospital where they are being treated
10430185-n,a young child who is small for his age,a young child who is small for their age
10431296-n,someone who travels about selling his wares (as on the streets or at carnivals),someone who travels about selling their wares (as on the streets or at carnivals)
10437588-n,a diplomat who is acceptable to the government to which he is sent,a diplomat who is acceptable to the government to which they are sent
10437714-n,a diplomat who is unacceptable to the government to which he is sent,a diplomat who is unacceptable to the government to which they are sent
10453818-n,a niggardly person who starves himself (and others),a niggardly person who starves themself (and others)
10457029-n,someone who uses another person's words or ideas as if they were his own,someone who uses another person's words or ideas as if they were their own
10472308-n,a man who is effeminate in his manner and fussy in the way he dresses,a man who is effeminate in their manner and fussy in the way they dress
10475481-n,a person who habitually pretends to be something he is not,a person who habitually pretends to be something they are not
10494031-n,the major party to a financial transaction at a stock exchange; buys and sells for his own account,the major party to a financial transaction at a stock exchange; buys and sells for their own account
10515341-n,one who intrudes or pushes himself forward,one who intrudes or pushes themself forward
10525052-n,executive who is very successful in bringing in business to his company or firm,executive who is very successful in bringing in business to their company or firm
10542669-n,a scientist who devotes himself to doing research,a scientist who devotes themself to doing research
10569482-n,someone who deceives you about his true nature or intent in order to take advantage of you,someone who deceives you about their true nature or intent in order to take advantage of you
10627901-n,a person who shirks his work or duty (especially one who tries to evade military service in wartime),a person who shirks their work or duty (especially one who tries to evade military service in wartime)
10654388-n,an orator who can hold his listeners spellbound,an orator who can hold their listeners spellbound
10655186-n,an inscrutable person who keeps his thoughts and intentions secret,an inscrutable person who keeps their thoughts and intentions secret
10658445-n,a person known for the way she (or he) behaves when teased or defeated or subjected to trying circumstances,a person known for the way they behave when teased or defeated or subjected to trying circumstances
10682391-n,a child who spends most of his time in the streets especially in slum areas,a child who spends most of their time in the streets especially in slum areas
10693108-n,a person who kills himself intentionally,a person who kills themself intentionally
10693215-n,a terrorist who blows himself up in order to kill or injure other people,a terrorist who blows themself up in order to kill or injure other people
10701338-n,someone (usually maleficent) who tries to persuade or force another person to do his bidding,someone (usually maleficent) who tries to persuade or force another person to do their bidding
10701616-n,an itinerant Australian laborer who carries his personal belongings in a bundle as he travels around in search of work,an itinerant Australian laborer who carries their personal belongings in a bundle as they travels around in search of work
10742614-n,someone who betrays his country by committing treason,someone who betrays their country by committing treason
10765000-n,a manservant who acts as a personal attendant to his employer,a manservant who acts as a personal attendant to their employer
10783796-n,an operative who initiates his own defection (usually to a hostile country) for political asylum,an operative who initiates their own defection (usually to a hostile country) for political asylum
10802308-n,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,the pilot who positions their aircraft outside and behind (on the wing of) the leader of a flying formation
10803557-n,one who uses secret influence (i.e. pulls wires or strings) for his own ends,one who uses secret influence (i.e. pulls wires or strings) for their own ends
10823190-n,in former times was free and cultivated his own land,in former times was free and cultivated their own land
08604380-n,the seat within a bishop's diocese where his cathedral is located,the seat within a bishop's diocese where the bishop's cathedral is located
13267561-n,extensive landed property (especially in the country) retained by the owner for his own use,extensive landed property (especially in the country) retained by the owner for their own use
13304056-n,compensation for death or injury suffered by a worker in the course of his employment,compensation for death or injury suffered by a worker in the course of their employment
13305585-n,payment made to a person in a position of trust to corrupt his judgment,payment made to a person in a position of trust to corrupt their judgment
13305996-n,a bribe given to a disc jockey to induce him to promote a particular record,a bribe given to a disc jockey to induce them to promote a particular record
13316383-n,an annuity scheme wherein participants share certain benefits and on the death of any participant his benefits are redistributed among the remaining participants; can run for a fixed period of time or until the death of all but one participant,an annuity scheme wherein participants share certain benefits and on the death of any participant their benefits are redistributed among the remaining participants; can run for a fixed period of time or until the death of all but one participant
13332007-n,a deduction allowed to a taxpayer because of his status (having certain dependents or being blind or being over 65 etc.),a deduction allowed to a taxpayer because of their status (having certain dependents or being blind or being over 65 etc.)
13344482-n,something for something; that which a party receives (or is promised) in return for something he does or gives or promises,something for something; that which a party receives (or is promised) in return for something they do or give or promise
13360204-n,a bond made by a reversioner to secure a loan; payable out of his reversion,a bond made by a reversioner to secure a loan; payable out of their reversion
13362365-n,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)","(law) an interest in an estate that reverts to the grantor (or their heirs) at the end of some period (e.g., the death of the grantee)"
13364299-n,(stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases,(stock market) a series of transactions in which the speculator increases their holdings by using the rising market value of those holdings as margin for further purchases
13366575-n,a system of automobile insurance where a party who is injured in an automobile accident recovers damages up to a specific amount against his own insurance company regardless of who was responsible for the accident,a system of automobile insurance where a party who is injured in an automobile accident recovers damages up to a specific amount against their own insurance company regardless of who was responsible for the accident
13368765-n,a form of life insurance whereby on the death or default of a participant his share is distributed to the remaining members,a form of life insurance whereby on the death or default of a participant their share is distributed to the remaining members
13400437-n,credit opened by an importer at a bank in his own country upon which an exporter may draw,credit opened by an importer at a bank in their own country upon which an exporter may draw
13423863-n,lien of which a tax collector may avail himself in default of taxes (analogous to a judgment lien),lien of which a tax collector may avail themself in default of taxes (analogous to a judgment lien)
13428381-n,a creditor's accounts of money owed to him; normally arise from the sale of products or services,a creditor's accounts of money owed to them; normally arise from the sale of products or services
13428734-n,a debtor's accounts of money he owes; normally arise from the purchase of products or services,a debtor's accounts of money they owes; normally arise from the purchase of products or services
92414965-n,"the minimum amount of classes a teacher has to conduct, as stated in his contract.","the minimum amount of classes a teacher has to conduct, as stated in their contract."
02802601-n,a trading card with a picture of a baseball player and information about his playing record,a trading card with a picture of a baseball player and information about their playing record
02908613-n,place where a broker conducts his business,place where a broker conducts their business
02979048-n,"(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers","(printing) the receptacle in which a compositor has their type, which is divided into compartments for the different letters, spaces, or numbers"
03150385-n,the ball that the billiard player or pool player strikes with his cue,the ball that the billiard player or pool player strikes with their cue
03206680-n,a pail in which a workman carries his lunch or dinner,a pail in which a workman carries their lunch or dinner
03360884-n,the ship that carries the commander of a fleet and flies his flag,the ship that carries the commander of a fleet and flies their flag
04029816-n,a small board full of holes; each hole contains a slip of paper with symbols printed on it; a gambler pays a small sum for the privilege of pushing out a slip in the hope of obtaining one that entitles him to a prize,a small board full of holes; each hole contains a slip of paper with symbols printed on it; a gambler pays a small sum for the privilege of pushing out a slip in the hope of obtaining one that entitles them to a prize
04385576-n,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over the knight's armor or by a herald
oewn-10612003-n,a commercial agent who shops at the competitor's store in order to compare their prices and merchandise with those of the store that employs her,a commercial agent who shops at the competitor's store in order to compare their prices and merchandise with those of the store that employs them
oewn-02555865-v,"watch over like a shepherd, as a teacher of her pupils","watch over like a shepherd, as a teacher of their pupils"
